provider_id,agency_name,street_address,city,state,zip_code,total_episodes_non_lupa,distinct_users_non_lupa,total_hha_charge_amount_non_lupa,total_hha_medicare_payment_amount_non_lupa,total_hha_medicare_standard_payment_amount_non_lupa,outlier_payments_as_a_percent_of_medicare_payment_amount_non_lupa,total_lupa_episodes,total_hha_medicare_payment_amount_for_lupas
108302,VIRGIN HEALTH CORPORATION INC,7235 CORPORATE CENTER DR BAY H,MIAMI,FL,33126,568,202,3925897,1748362,1613563,10,16.0,5033.0
108379,PATIENT'S CHOICE HOME HEALTH CARE INC,10300 SUNSET DRIVE SUITE 310,MIAMI,FL,33184,96,38,488807,282100,255475,10,27.0,10878.0
337290,"AMERICARE CERTIFIED SPECIAL SERVICES, INC CHHA",5923 STRICKLAND AVENUE,BROOKLYN,NY,11234,3148,2310,14112445,12667998,9482140,10,259.0,108050.0
747394,GRANDCARE HOME HEALTH LLC,4701 ARDENWOOD DRIVE,FORT WORTH,TX,76123,773,220,2175373,2016621,1971446,10,30.0,10111.0
27001,PROVIDENCE IN HOME SERVICES,"4001 DALE STREET, SUITE 101",ANCHORAGE,AK,99508,688,604,2598179,2387679,2090178,0,121.0,57716.0
27006,FAIRBANKS MEMORIAL HOSPITAL HHA,"1302 21ST AVENUE, FLOOR 2",FAIRBANKS,AK,99701,285,179,772900,795317,763731,0,62.0,23531.0
27007,SITKA COMMUNITY HOSPITAL HHA,209 MOLLER AVENUE,SITKA,AK,99835,63,33,215513,202859,164323,0,12.0,5330.0
27032,"MAXIM HEALTHCARE SERVICES, INC","711 H STREET, SUITE 100",ANCHORAGE,AK,99501,155,132,396296,583545,507094,0,16.0,6550.0
27010,SOUTH PENINSULA HOSPITAL HHA,4300 BARTLETT STREET,HOMER,AK,99603,66,39,197453,191525,155611,0,17.0,8779.0
27020,"1ST CHOICE HOME HEALTH CARE, INC","43421 KALIFORNSKY BEACH ROAD, SUITE 4",SOLDOTNA,AK,99669,257,179,636444,821062,668137,0,25.0,11543.0
17009,ALACARE HOME HEALTH & HOSPICE,2970 LORNA ROAD,BIRMINGHAM,AL,35216,12096,6211,30263356,28901930,35087805,0,1138.0,320331.0
17014,AMEDISYS HOME HEALTH OF BLOUNTSVILLE,"1106 2ND AVENUE E, SUITE E",ONEONTA,AL,35121,463,322,1389586,1188646,1463926,0,59.0,17068.0
17016,SOUTHEAST ALABAMA HOMECARE,804 GLOVER AVENUE,ENTERPRISE,AL,36330,963,502,2842744,2182725,2760829,0,109.0,29735.0
17020,AMEDISYS HOME HEALTH CARE,"273 AZALEA ROAD, SUITE 104, BLDG 2",MOBILE,AL,36609,1028,641,3032311,2512459,3187450,0,126.0,35139.0
