provider_id,agency_name,street_address,city,state,zip_code,total_episodes_non_lupa,distinct_beneficiaries_non_lupa,average_number_of_total_visits_per_episode_non_lupa,average_number_of_skilled_nursing_visits_per_episode_non_lupa,average_number_of_pt_visits_per_episode_non_lupa,average_number_of_ot_visits_per_episode_non_lupa,average_number_of_st_visits_per_episode_non_lupa,average_number_of_home_health_aide_visits_per_episode_non_lupa,average_number_of_medical_social_visits_per_episode_non_lupa,total_hha_charge_amount_non_lupa,total_hha_medicare_payment_amount_non_lupa,total_hha_medicare_standard_payment_amount_non_lupa,outlier_payments_as_a_percent_of_medicare_payment_amount_non_lupa,total_lupa_episodes,total_hha_medicare_payment_amount_for_lupas,average_age,male_beneficiaries,female_beneficiaries,nondual_beneficiaries,dua_beneficiaries,white_beneficiaries,black_beneficiaries,asian_pacific_islander_beneficiaries,hispanic_beneficiaries,american_indian_or_alaska_native_beneficiaries,other_unknown_beneficiaries,average_hcc_score,percent_of_beneficiaries_with_atrial_fibrillation,percent_of_beneficiaries_with_alzheimers,percent_of_beneficiaries_with_asthma,percent_of_beneficiaries_with_cancer,percent_of_beneficiaries_with_chf,percent_of_beneficiaries_with_chronic_kidney_disease,percent_of_beneficiaries_with_copd,percent_of_beneficiaries_with_depression,percent_of_beneficiaries_with_diabetes,percent_of_beneficiaries_with_hyperlipidemia,percent_of_beneficiaries_with_hypertension,percent_of_beneficiaries_with_ihd,percent_of_beneficiaries_with_osteoporosis,percent_of_beneficiaries_with_ra_oa,percent_of_beneficiaries_with_schizophrenia,percent_of_beneficiaries_with_stroke
58330,"DIVINE HOME HEALTH, INC",14625 CARMENITA ROAD SUITE 228,NORWALK,CA,90650,681,486,13.4,9.8,2.7,0.1,0.0,0.8,0.0,1368276,2217148,1787361,6.5,31.0,12912.0,80,139.0,347.0,55.0,431.0,35.0,,407.0,26.0,,17.0,2.0,9,39.0,15.0,8,30.0,39.0,16.0,21.0,74.0,70.0,,57.0,44,72.0,4.0,8
58376,"ORANGE COUNTY CARE PROVIDERS, INC",14700 E FIRESTONE BLVD SUITE 128,LA MIRADA,CA,90638,614,293,18.0,12.8,4.3,0.1,0.1,0.7,0.0,1652285,2137998,1747600,6.2,44.0,16321.0,82,97.0,196.0,92.0,201.0,189.0,,63.0,,,28.0,2.74,24,46.0,19.0,16,45.0,51.0,37.0,49.0,49.0,72.0,,54.0,19,67.0,7.0,12
147844,"ALERT HOME HEALTH CARE, INC","8118 N MILWAUKEE AVENUE, STE 109",NILES,IL,60714,501,197,10.4,7.5,1.5,0.1,0.0,1.3,0.0,669226,1189842,1165889,0.0,43.0,11642.0,79,58.0,139.0,81.0,116.0,149.0,,17.0,,,13.0,2.16,23,27.0,20.0,9,52.0,32.0,28.0,39.0,68.0,73.0,,68.0,23,,3.0,10
227290,"SUBURBAN HOME HEALTH CARE, INC",1050 COMMONWEALTH AVE,BOSTON,MA,2115,1466,696,31.9,17.2,4.6,0.5,0.2,9.5,0.0,5856605,5549658,4418284,8.8,58.0,23848.0,82,203.0,493.0,117.0,579.0,476.0,31.0,108.0,,,71.0,2.25,28,33.0,14.0,14,48.0,49.0,16.0,40.0,54.0,64.0,,63.0,16,62.0,10.0,7
747139,KOREAN HOME HEALTH,1908 ROYAL LANE SUITE 100,DALLAS,TX,75229,1691,419,15.0,8.3,1.8,0.1,0.0,4.7,0.0,3811831,3725304,3914596,0.0,24.0,8595.0,78,146.0,273.0,75.0,344.0,,,384.0,,,17.0,1.5,6,31.0,12.0,4,28.0,31.0,16.0,16.0,53.0,,,33.0,35,74.0,2.0,6
58247,BLUE STAR HOME HEALTH INC,20953 DEVONSHIRE BLVD SUITE 3,CHATSWORTH,CA,91311,544,275,12.5,8.3,3.2,0.3,0.0,0.7,0.0,1184245,1564140,1312765,1.5,36.0,12920.0,71,125.0,150.0,112.0,163.0,166.0,17.0,22.0,65.0,,,2.13,12,19.0,17.0,9,31.0,37.0,25.0,46.0,42.0,66.0,,43.0,16,56.0,31.0,9
59046,"CALIFORNIA'S BEST HOME HEALTH SERVICES, INC","1900 E LA PALMA AVE, SUITE 204",ANAHEIM,CA,92805,430,349,16.7,10.6,5.4,0.3,0.1,0.3,0.0,1009248,1494424,1266785,4.4,25.0,9146.0,74,150.0,199.0,167.0,182.0,191.0,13.0,52.0,84.0,,,2.32,17,27.0,15.0,13,35.0,47.0,27.0,36.0,48.0,64.0,,49.0,19,64.0,14.0,17
59105,"MAXIMUM CARE PROVIDERS, INC","55 E. HUNTINGTON DRIVE, STE. 320",ARCADIA,CA,91006,454,241,16.2,12.2,3.6,0.1,0.1,0.2,0.0,1036215,1633790,1316761,6.3,25.0,9843.0,74,93.0,148.0,52.0,189.0,102.0,38.0,32.0,65.0,,,2.22,8,50.0,17.0,9,44.0,41.0,38.0,54.0,54.0,66.0,,66.0,34,63.0,35.0,13
557523,MERCY HOME CARE,2740 M STREET,MERCED,CA,95340,419,318,12.6,7.9,4.0,0.0,0.0,0.7,0.0,2737386,1264036,1064916,0.0,89.0,42973.0,75,132.0,186.0,174.0,144.0,186.0,19.0,17.0,91.0,,,2.44,17,26.0,21.0,12,46.0,52.0,35.0,25.0,53.0,58.0,,66.0,9,53.0,3.0,11
59508,QUALITY CLINICIANS CARE HOME HEALTH SERVICES LLC,"3033 MOORPARK AVENUE, SUITE 26",SAN JOSE,CA,95128,509,381,14.9,8.5,4.6,1.5,0.1,0.3,0.0,1606256,2023184,1317899,0.6,26.0,13369.0,76,133.0,248.0,78.0,303.0,104.0,44.0,135.0,91.0,,,1.89,12,28.0,18.0,5,30.0,37.0,19.0,27.0,51.0,72.0,,42.0,22,52.0,12.0,10
