provider_id,name,street_address,city,state,zip_code,hrr,hospice_beneficiaries,total_days,total_medicare_payment_amount,total_medicare_standard_payment_amount,total_charge_amount,percent_routine_home_care_days,physician_services,home_health_visit_hours_per_day,skilled_nursing_visit_hours_per_day,social_service_visit_hours_per_day,total_live_discharges,hospice_beneficiaries_with_seven_or_fewer_hospice_care_days,hospice_beneficiaries_with_more_than_sixty_hospice_care_days,hospice_beneficiaries_with_more_than_one_hundred_eighty_hospice_care_days,home_health_visit_hours_per_day_during_week_prior_to_death,skilled_nursing_visit_hours_per_day_during_week_prior_to_death,social_service_visit_hours_per_day_during_week_prior_to_death,average_age,male_hospice_beneficiaries,female_hospice_beneficiaries,white_hospice_beneficiaries,black_hospice_beneficiaries,asian_hospice_beneficiaries,hispanic_hospice_beneficiaries,other_unknown_race_hospice_beneficiaries,medicare_advantage_hospice_beneficiaries,medicaid_eligible_hospice_beneficiaries,hospice_beneficiaries_with_a_primary_diagnosis_of_cancer,hospice_beneficiaries_with_a_primary_diagnosis_of_dementia,hospice_beneficiaries_with_a_primary_diagnosis_of_stroke,hospice_beneficiaries_with_a_primary_diagnosis_of_circulatory_heart_disease,hospice_beneficiaries_with_a_primary_diagnosis_of_respiratory_disease,hospice_beneficiaries_with_other_primary_diagnoses,site_of_service_home_hospice_beneficiaries,site_of_service_assisted_living_facility_hospice_beneficiaries,site_of_service_long_term_care_or_non_skilled_nursing_facility_hospice_beneficiaries,site_of_service_skilled_nursing_facility_hospice_beneficiaries,site_of_service_inpatient_hospital_hospice_beneficiaries,site_of_service_inpatient_hospice_hospice_beneficiaries,site_of_service_other_facility_hospice_beneficiaries
71500,"CONNECTICUT HOSPICE INC, THE",100 DOUBLE BEACH ROAD,BRANFORD,CT,6405,CT - New Haven,2034,80083,22875504,19846238,54149029,84,8117.0,0.441,0.391,0.025,132.0,715.0,368.0,107.0,0.272,0.31,0.037,82.9,836.0,1198.0,1801.0,133.0,12.0,69.0,19.0,472.0,469.0,750.0,233.0,126.0,292.0,212.0,421.0,706.0,45.0,24.0,207.0,206.0,834.0,12.0
101533,HOSPICE OF THE COMFORTER INC,480 WEST CENTRAL PARKWAY,ALTAMONTE SPRINGS,FL,32714,FL - Orlando,2098,94665,16219877,17105829,22197029,95,2111.0,0.388,0.318,0.047,232.0,777.0,478.0,141.0,0.442,0.6,0.074,81.0,949.0,1149.0,1585.0,178.0,37.0,279.0,19.0,660.0,414.0,784.0,301.0,139.0,293.0,276.0,305.0,1131.0,102.0,130.0,82.0,97.0,530.0,26.0
101545,VITAS HEALTHCARE CORPORATION OF FLORIDA,4450 W EAU GALLIE BLVD STE 250,MELBOURNE,FL,32934,FL - Orlando,22915,2023444,412884798,417381588,863441086,92,87682.0,0.728,0.784,0.048,2125.0,5379.0,8893.0,4321.0,0.676,1.565,0.112,83.5,9204.0,13711.0,14641.0,2516.0,176.0,5383.0,199.0,9781.0,6737.0,5158.0,1846.0,3386.0,4487.0,2097.0,5941.0,10605.0,4274.0,3171.0,25.0,1313.0,3511.0,16.0
101508,SUNCOAST HOSPICE,5771 ROOSEVELT BOULEVARD,CLEARWATER,FL,33760,FL - Clearwater,6677,449662,78623099,83197773,197295641,95,13567.0,0.247,0.35,0.091,629.0,1959.0,2129.0,852.0,0.258,0.794,0.124,82.6,2770.0,3907.0,6124.0,259.0,53.0,196.0,45.0,2494.0,1618.0,1939.0,1445.0,477.0,1079.0,761.0,976.0,2659.0,882.0,1255.0,57.0,183.0,1616.0,25.0
101516,HOPE HOSPICE AND COMMUNITY SERVICES INC,9470 HEALTHPARK CIRCLE,FORT MYERS,FL,33908,FL - Fort Myers,4570,290390,54485433,57711413,119603846,92,16323.0,0.396,0.278,0.084,368.0,1229.0,1360.0,535.0,0.763,0.412,0.114,82.0,2199.0,2371.0,4146.0,150.0,19.0,230.0,25.0,1116.0,783.0,1405.0,888.0,329.0,776.0,528.0,644.0,1872.0,478.0,213.0,285.0,150.0,1525.0,47.0
111508,HOSPICE ATLANTA,1244 PARK VISTA DR.,ATLANTA,GA,30319,GA - Atlanta,1572,45268,9354939,9571250,14170647,90,3203.0,0.394,0.245,0.034,127.0,802.0,207.0,56.0,0.43,0.256,0.038,78.3,696.0,876.0,965.0,550.0,12.0,24.0,21.0,490.0,160.0,595.0,182.0,159.0,239.0,171.0,226.0,660.0,24.0,0.0,29.0,370.0,472.0,17.0
221513,VNA CARE HOSPICE INC,120 THOMAS STREET,WORCESTER,MA,1608,MA - Worcester,1567,63261,11095898,9895073,19548264,99,0.0,0.102,0.268,0.032,161.0,420.0,366.0,48.0,0.031,0.211,0.039,81.6,689.0,878.0,1411.0,63.0,37.0,36.0,20.0,565.0,289.0,777.0,150.0,66.0,280.0,114.0,180.0,1296.0,16.0,23.0,53.0,23.0,68.0,88.0
211509,HOSPICE OF THE CHESAPEAKE,90 RITCHIE HIGHWAY,PASADENA,MD,21122,MD - Baltimore,2246,119031,20662811,20122083,30796653,97,2189.0,0.257,0.265,0.045,126.0,750.0,550.0,206.0,0.187,0.361,0.09,81.4,857.0,1389.0,1709.0,458.0,30.0,33.0,16.0,170.0,202.0,790.0,469.0,144.0,311.0,199.0,333.0,1265.0,311.0,129.0,0.0,386.0,117.0,38.0
341523,TRANSITIONS LIFECARE,250 HOSPICE CIRCLE,RALEIGH,NC,27607,NC - Raleigh,2558,127729,21637335,22316978,34882675,96,3002.0,0.228,0.283,0.061,172.0,719.0,654.0,181.0,0.256,0.377,0.086,81.4,1043.0,1515.0,2082.0,402.0,21.0,38.0,15.0,726.0,417.0,899.0,507.0,201.0,358.0,185.0,408.0,1229.0,412.0,327.0,40.0,85.0,430.0,35.0
341500,HOSPICE & PALLIATIVE CARE CHARLOTTE REGION,1420 EAST SEVENTH STREET,CHARLOTTE,NC,28204,NC - Charlotte,3126,222496,36619220,38491271,76574800,97,6900.0,0.275,0.242,0.059,160.0,801.0,1033.0,426.0,0.441,0.521,0.086,80.8,1220.0,1906.0,2429.0,588.0,32.0,54.0,23.0,737.0,787.0,885.0,804.0,252.0,479.0,266.0,440.0,1342.0,536.0,660.0,40.0,47.0,489.0,12.0
311507,BARNABAS HEALTH HOSPICE & PALLIATIVE CARE CENTER,95 OLD SHORT HILLS ROAD,WEST ORANGE,NJ,7052,NJ - Newark,1710,105650,19030062,17377879,94820746,98,178.0,0.84,0.256,0.055,146.0,585.0,483.0,199.0,0.194,0.329,0.1,83.3,606.0,1104.0,1225.0,344.0,30.0,99.0,12.0,296.0,450.0,548.0,383.0,101.0,318.0,178.0,182.0,893.0,51.0,293.0,41.0,367.0,43.0,22.0
331529,"M J H S HOSPICE AND PALLIATIVE CARE, INC","39 BROADWAY, SUITE 200",NEW YORK,NY,10006,NY - Manhattan,4229,234361,55634657,45948743,95543575,93,10240.0,1.61,0.331,0.071,403.0,1199.0,1100.0,407.0,0.321,0.329,0.092,83.0,1643.0,2586.0,2319.0,737.0,347.0,744.0,82.0,1549.0,2325.0,1688.0,1046.0,290.0,512.0,281.0,412.0,2031.0,,,869.0,528.0,681.0,107.0
331506,LIFETIME CARE/ HOSPICE OF ROCHESTER/ WAYNE/SENECA,3111 SOUTH WINTON ROAD,ROCHESTER,NY,14623,NY - Rochester,2525,105180,17255105,18742665,40237818,96,1629.0,1.137,0.292,0.077,153.0,907.0,534.0,142.0,0.51,0.359,0.111,83.5,984.0,1541.0,2323.0,105.0,21.0,47.0,29.0,1637.0,868.0,781.0,601.0,138.0,290.0,189.0,526.0,793.0,25.0,0.0,1076.0,395.0,182.0,54.0
361531,"HOSPICE OF CINCINNATI, INC",4310 COOPER ROAD,CINCINNATI,OH,45242,OH - Cincinnati,4451,225641,40803129,41870566,85518956,93,2123.0,0.387,0.474,0.032,243.0,1634.0,1044.0,397.0,0.625,0.985,0.056,81.1,1834.0,2617.0,4021.0,368.0,19.0,17.0,26.0,1739.0,883.0,1427.0,610.0,320.0,723.0,498.0,873.0,1810.0,73.0,1177.0,0.0,297.0,1025.0,69.0
491500,CAPITAL HOSPICE,2900 TELESTAR COURT,FALLS CHURCH,VA,22042,VA - Arlington,3334,234454,41079391,38960683,87288758,98,3240.0,0.353,0.293,0.071,364.0,775.0,1134.0,445.0,0.176,0.37,0.099,82.3,1359.0,1975.0,2672.0,320.0,187.0,115.0,40.0,463.0,568.0,1137.0,770.0,224.0,442.0,290.0,471.0,1891.0,463.0,415.0,143.0,89.0,314.0,19.0
521505,AGRACE HOSPICECARE,5395 E CHERYL PKWY,MADISON,WI,53711,WI - Madison,2686,211636,38111661,35584043,72704251,97,3598.0,0.383,0.303,0.083,176.0,516.0,1025.0,390.0,0.252,0.403,0.165,82.9,1118.0,1568.0,2599.0,43.0,13.0,16.0,15.0,707.0,567.0,707.0,645.0,173.0,472.0,264.0,425.0,973.0,745.0,82.0,324.0,30.0,391.0,141.0
501501,HOSPICE SOUTHWEST,5400 MACARTHUR BLVD,VANCOUVER,WA,98661,OR - Portland,1306,61516,11255307,9989055,30072284,98,559.0,0.202,0.285,0.033,182.0,364.0,318.0,73.0,0.126,0.197,0.052,82.3,556.0,750.0,1231.0,12.0,17.0,18.0,28.0,530.0,370.0,398.0,216.0,85.0,262.0,124.0,221.0,816.0,179.0,18.0,,,163.0,125.0
121509,ISLANDS HOSPICE,1301 YOUNG ST,HONOLULU,HI,96814,HI - Honolulu,1506,97395,17452229,15004634,21211269,100,0.0,0.284,0.182,0.038,113.0,372.0,453.0,172.0,0.15,0.217,0.063,84.9,626.0,880.0,321.0,11.0,957.0,68.0,149.0,784.0,404.0,377.0,461.0,189.0,198.0,83.0,198.0,939.0,15.0,55.0,395.0,0.0,61.0,41.0
241513,ALLINA HEALTH HOSPICE & PALLIATIVE CARE,1055 WESTGATE DRIVE SUITE 100,SAINT PAUL,MN,55114,MN - St. Paul,3249,205374,34398869,31729620,49803155,100,222.0,0.135,0.229,0.052,223.0,757.0,1004.0,351.0,0.105,0.218,0.089,82.4,1334.0,1915.0,3084.0,62.0,43.0,28.0,32.0,1902.0,818.0,1047.0,474.0,287.0,657.0,336.0,448.0,1510.0,499.0,733.0,281.0,12.0,23.0,191.0
61504,DENVER HOSPICE THE,501 SOUTH CHERRY STREET #700,DENVER,CO,80246,CO - Denver,2506,143960,26355962,25349511,62128252,96,2673.0,0.374,0.321,0.05,208.0,678.0,702.0,235.0,0.58,0.88,0.087,80.7,1062.0,1444.0,2039.0,189.0,40.0,208.0,30.0,1408.0,428.0,906.0,366.0,197.0,374.0,303.0,360.0,1376.0,202.0,390.0,17.0,13.0,495.0,13.0
101530,CATHOLIC HOSPICE INC,14875 NW 77TH AVE STE 100,MIAMI LAKES,FL,33014,FL - Miami,2750,176295,38444159,37568038,70828557,91,10627.0,0.836,0.632,0.058,372.0,816.0,802.0,357.0,0.232,1.144,0.089,84.0,1073.0,1677.0,946.0,128.0,16.0,1645.0,15.0,1421.0,986.0,813.0,607.0,288.0,571.0,204.0,267.0,1319.0,301.0,223.0,,410.0,488.0,
101507,LIFEPATH HOSPICE,3010 W AZEELE ST,TAMPA,FL,33609,FL - Tampa,5591,420569,72485959,76695250,140794187,95,13179.0,0.355,0.435,0.042,632.0,1431.0,1988.0,822.0,0.441,0.816,0.08,81.3,2227.0,3364.0,4161.0,513.0,60.0,823.0,34.0,2345.0,1362.0,1558.0,1329.0,359.0,752.0,699.0,894.0,2824.0,829.0,570.0,,317.0,986.0,
101525,CORNERSTONE HOSPICE & PALLIATIVE CARE INC,2445 LANE PARK ROAD,TAVARES,FL,32778,FL - Orlando,5265,271903,47428623,51288324,95857696,94,8106.0,0.391,0.783,0.062,369.0,1857.0,1287.0,462.0,0.387,1.12,0.111,81.3,2471.0,2794.0,4534.0,294.0,37.0,366.0,34.0,1434.0,962.0,1683.0,919.0,273.0,1113.0,544.0,733.0,2553.0,543.0,638.0,,363.0,1084.0,
101515,HAVEN HOSPICE,4200 NW 90TH BLVD,GAINESVILLE,FL,32606,FL - Gainesville,3742,220722,41028806,44100671,78377053,91,10457.0,0.383,0.331,0.056,328.0,1080.0,1051.0,391.0,0.693,0.741,0.073,80.5,1590.0,2152.0,3245.0,364.0,28.0,85.0,20.0,623.0,963.0,1163.0,694.0,309.0,615.0,485.0,476.0,1667.0,211.0,517.0,,154.0,1103.0,
101500,COMMUNITY HOSPICE OF NORTHEAST FLORIDA INC,4266 SUNBEAM ROAD,JACKSONVILLE,FL,32207,FL - Jacksonville,5476,347546,61367056,65613958,92499703,94,16293.0,0.295,0.386,0.07,250.0,1817.0,1527.0,684.0,0.324,0.707,0.102,81.0,2364.0,3112.0,4549.0,708.0,57.0,125.0,37.0,995.0,1346.0,1515.0,1027.0,520.0,768.0,553.0,1093.0,1924.0,389.0,1078.0,,353.0,1709.0,
101522,HALIFAX HEALTH HOSPICE OF VOLUSIA/FLAGLER,3800 WOODBRIAR TRAIL,PORT ORANGE,FL,32119,FL - Ormond Beach,2945,184314,31163372,33757487,61512951,94,4703.0,0.426,0.498,0.055,282.0,889.0,897.0,329.0,0.707,1.137,0.079,82.0,1307.0,1638.0,2654.0,135.0,14.0,125.0,17.0,1135.0,620.0,757.0,579.0,254.0,587.0,331.0,437.0,1300.0,274.0,420.0,,101.0,811.0,
101504,HOSPICE BY THE SEA INC,1531 W PALMETTO PARK RD,BOCA RATON,FL,33486,FL - Fort Lauderdale,3682,216550,43400597,42725207,87453708,93,9267.0,0.486,0.716,0.038,307.0,1217.0,1014.0,394.0,0.293,1.096,0.071,84.6,1537.0,2145.0,3249.0,200.0,24.0,187.0,22.0,1127.0,594.0,1111.0,621.0,244.0,782.0,339.0,585.0,1525.0,457.0,380.0,,167.0,1101.0,
101512,HOSPICE OF PALM BEACH COUNTY INC,5300 EAST AVENUE,WEST PALM BEACH,FL,33407,FL - Fort Lauderdale,6918,396196,77642332,78250175,135687073,93,19667.0,0.404,0.581,0.037,450.0,2709.0,1764.0,804.0,0.213,1.063,0.081,84.0,3039.0,3879.0,6001.0,452.0,44.0,379.0,42.0,2160.0,1293.0,1863.0,1438.0,603.0,1222.0,795.0,997.0,2497.0,668.0,781.0,,363.0,2564.0,
141513,RAINBOW HOSPICE AND PALLIATIVE CARE,1550 BISHOP COURT,MOUNT PROSPECT,IL,60056,IL - Evanston,2050,104802,19294290,18379091,51953869,96,2616.0,0.323,0.369,0.078,113.0,795.0,482.0,190.0,0.446,0.587,0.11,84.1,797.0,1253.0,1787.0,83.0,49.0,109.0,22.0,268.0,422.0,583.0,470.0,178.0,303.0,193.0,323.0,904.0,67.0,389.0,,248.0,386.0,
141527,MIDWEST PALLIATIVE & HOSPICE CARECENTER,2050 CLAIRE COURT,GLENVIEW,IL,60025,IL - Evanston,2289,138197,25277915,24079922,66871938,97,2212.0,0.244,0.32,0.068,129.0,678.0,636.0,262.0,0.144,0.33,0.124,84.7,898.0,1391.0,2125.0,47.0,52.0,53.0,12.0,243.0,358.0,739.0,352.0,298.0,345.0,147.0,408.0,1044.0,69.0,628.0,,62.0,475.0,
141582,SEASONS HOSPICE,606 POTTER ROAD,DES PLAINES,IL,60016,IL - Evanston,3114,137306,28919182,27567301,36880790,92,8618.0,0.255,0.263,0.033,190.0,1174.0,634.0,215.0,0.105,0.25,0.058,81.3,1290.0,1824.0,2104.0,691.0,56.0,241.0,22.0,608.0,1052.0,953.0,420.0,515.0,335.0,259.0,632.0,989.0,147.0,790.0,,148.0,972.0,
181502,HOSPARUS INC,3532 EPHRAIM MCDOWELL DRIVE,LOUISVILLE,KY,40205,KY - Louisville,4357,197667,32408892,35282097,56520602,96,6167.0,0.2,0.267,0.05,211.0,1387.0,979.0,251.0,0.164,0.318,0.077,79.7,1787.0,2570.0,3925.0,369.0,13.0,25.0,25.0,1031.0,782.0,1746.0,759.0,288.0,642.0,406.0,516.0,2417.0,158.0,793.0,,527.0,459.0,
221522,"CARE DIMENSIONS, INC","75 SYLVAN STREET, SUITE B-102",DANVERS,MA,1923,MA - Boston,3412,193427,35575238,33112342,64142961,97,2871.0,0.415,0.321,0.055,375.0,1040.0,981.0,317.0,0.353,0.564,0.097,82.9,1442.0,1970.0,3203.0,80.0,31.0,61.0,37.0,585.0,894.0,1236.0,816.0,133.0,600.0,248.0,379.0,1669.0,253.0,,552.0,350.0,432.0,
231526,ARBOR HOSPICE,2366 OAK VALLEY DRIVE,ANN ARBOR,MI,48108,MI - Ann Arbor,1419,72116,11303111,11350013,19454788,99,446.0,0.295,0.378,0.095,127.0,399.0,370.0,106.0,0.137,0.326,0.159,81.7,622.0,797.0,1274.0,88.0,19.0,24.0,14.0,352.0,239.0,507.0,204.0,108.0,230.0,121.0,249.0,754.0,203.0,217.0,,55.0,29.0,
341515,LOWER CAPE FEAR HOSPICE INC,1414 PHYSICIANS DRIVE,WILMINGTON,NC,28401,NC - Wilmington,2352,159205,27655339,29590815,58578684,94,7609.0,0.398,0.298,0.069,157.0,621.0,708.0,299.0,0.318,0.45,0.088,79.9,1051.0,1301.0,1980.0,320.0,12.0,21.0,19.0,355.0,492.0,834.0,244.0,402.0,334.0,250.0,288.0,1317.0,109.0,216.0,,163.0,516.0,
311504,SAMARITAN HEALTHCARE AND HOSPICE,"5 EVES DRIVE, SUITE 300",MARLTON,NJ,8053,NJ - Camden,2353,122805,21760995,20827172,44626369,97,2356.0,0.797,0.3,0.059,161.0,808.0,577.0,204.0,0.371,0.485,0.097,82.5,918.0,1435.0,1986.0,286.0,17.0,50.0,14.0,362.0,389.0,840.0,373.0,167.0,380.0,184.0,409.0,1306.0,168.0,,310.0,106.0,457.0,
311542,COMPASSIONATE CARE HOSPICE,"1373 BROAD STREET, SUITE 309",CLIFTON,NJ,7013,NJ - Hackensack,1288,88606,15930271,13769667,23219577,99,124.0,1.463,0.351,0.049,164.0,329.0,422.0,165.0,0.394,0.397,0.094,83.7,438.0,850.0,941.0,140.0,33.0,160.0,14.0,171.0,453.0,396.0,324.0,58.0,234.0,108.0,168.0,796.0,84.0,270.0,,63.0,66.0,
331501,"COMMUNITY HOSPICE, INC, THE",295 VALLEY VIEW BOULEVARD,RENSSELAER,NY,12144,NY - Albany,3546,174746,27694252,30408903,57501830,96,171.0,0.279,0.359,0.054,213.0,1126.0,846.0,267.0,0.131,0.343,0.087,82.0,1480.0,2066.0,3351.0,87.0,26.0,54.0,28.0,1306.0,965.0,1291.0,538.0,153.0,562.0,408.0,594.0,1762.0,89.0,,805.0,550.0,332.0,
331519,VISITING NURSE SERVICE OF NY HOSPICE CARE,1250 BROADWAY,NEW YORK,NY,10001,NY - Manhattan,4410,292744,60398295,49738305,104058153,97,2274.0,1.197,0.208,0.047,534.0,1194.0,1345.0,534.0,0.27,0.303,0.083,83.1,1720.0,2690.0,2480.0,715.0,274.0,851.0,90.0,1431.0,1881.0,1816.0,905.0,304.0,642.0,297.0,446.0,2970.0,45.0,437.0,,596.0,313.0,
331532,"HOSPICE CARE OF LONG ISLAND, QUEENS, SOUTH SHORE",99 SUNNYSIDE BLVD,WOODBURY,NY,11797,NY - East Long Island,4121,164548,37154352,30956908,64027161,94,5816.0,1.545,0.27,0.065,343.0,1315.0,845.0,177.0,0.463,0.177,0.081,83.3,1694.0,2427.0,3275.0,446.0,104.0,235.0,61.0,1229.0,961.0,1725.0,819.0,252.0,617.0,276.0,432.0,2491.0,124.0,261.0,,710.0,480.0,
361503,"HOSPICE OF THE WESTERN RESERVE, INC",17876 ST CLAIR AVENUE,CLEVELAND,OH,44110,OH - Cleveland,5313,378895,62020288,65580199,120282824,97,11037.0,0.337,0.369,0.073,355.0,1360.0,1739.0,740.0,0.164,0.544,0.115,82.3,2170.0,3143.0,4501.0,684.0,27.0,72.0,29.0,2107.0,1246.0,1760.0,894.0,551.0,832.0,521.0,755.0,2248.0,491.0,1491.0,,313.0,645.0,
391515,HOSPICE AND COMMUNITY CARE,685 GOOD DRIVE  PO BOX 685,LANCASTER,PA,17604,PA - Lancaster,2438,129579,22438730,23135061,36178230,96,4476.0,0.096,0.519,0.062,199.0,623.0,656.0,190.0,0.121,0.435,0.088,82.2,1049.0,1389.0,2305.0,39.0,13.0,60.0,21.0,726.0,401.0,893.0,278.0,157.0,439.0,205.0,466.0,1308.0,0.0,715.0,,34.0,350.0,
391501,WISSAHICKON HOSPICE,150 MONUMENT ROAD SUITE 300,BALA CYNWYD,PA,19004,PA - Philadelphia,1191,48536,9651772,9049816,22871045,94,1467.0,0.502,0.28,0.067,129.0,426.0,243.0,61.0,0.174,0.423,0.064,77.6,524.0,667.0,631.0,496.0,28.0,22.0,14.0,453.0,324.0,593.0,132.0,63.0,201.0,72.0,130.0,708.0,,52.0,15.0,146.0,265.0,
391571,VITAS HEALTH CARE CORPORATION,1787 SENTRY PARKWAY WEST SUITE 400,BLUE BELL,PA,19422,PA - Philadelphia,1779,69241,16844736,15805402,30987047,87,6252.0,0.743,0.758,0.046,120.0,728.0,314.0,106.0,0.653,1.002,0.048,80.7,759.0,1020.0,1289.0,388.0,34.0,54.0,14.0,733.0,558.0,613.0,89.0,134.0,278.0,257.0,408.0,562.0,21.0,182.0,,127.0,885.0,
451504,VITAS HEALTHCARE OF TEXAS LP,8585 NORTH STEMMONS FRWY STE 200 SOUTH,DALLAS,TX,75247,TX - Dallas,1991,126490,23903831,24022266,49024300,94,1975.0,0.649,0.688,0.036,223.0,564.0,593.0,242.0,0.546,1.471,0.068,80.1,829.0,1162.0,1493.0,302.0,36.0,144.0,16.0,433.0,306.0,669.0,199.0,181.0,318.0,164.0,460.0,1143.0,294.0,227.0,,144.0,176.0,
451536,VITAS HEALTHCARE OF TEXAS L P,3131 EASTSIDE SUITE 200,HOUSTON,TX,77098,TX - Houston,2103,96474,19359322,19238956,36309718,92,4633.0,0.459,0.601,0.036,178.0,837.0,443.0,165.0,0.269,1.198,0.049,79.1,928.0,1175.0,1473.0,330.0,42.0,236.0,22.0,714.0,352.0,822.0,179.0,171.0,204.0,202.0,525.0,920.0,108.0,237.0,,58.0,779.0,
